type,title,date_added,release_year,rating,listed_in,streaming_platform,duration_seasons
TV Show,Wizards: Tales of Arcadia,"August 7, 2020",2020,TV-Y7,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",Netflix,1
TV Show,Word Party Songs,"August 7, 2020",2020,TV-Y,Kids' TV,Netflix,1
TV Show,World's Most Wanted,"August 5, 2020",2020,TV-14,"Crime TV Shows, Docuseries, International TV Shows",Netflix,1
TV Show,Mystery Lab,"August 4, 2020",2020,TV-PG,"Docuseries, International TV Shows, Science & Nature TV",Netflix,1
TV Show,Immigration Nation,"August 3, 2020",2020,TV-MA,Docuseries,Netflix,1
TV Show,My Perfect Landing,"August 1, 2020",2020,TV-G,Kids' TV,Netflix,1
TV Show,Nagi-Asu: A Lull in the Sea,"August 1, 2020",2014,TV-14,"Anime Series, Romantic TV Shows, Teen TV Shows",Netflix,1
TV Show,The Next Step,"August 1, 2020",2018,TV-G,"Kids' TV, Reality TV, TV Dramas",Netflix,1
TV Show,Toradora!,"August 1, 2020",2008,TV-14,"Anime Series, International TV Shows, Romantic TV Shows",Netflix,1
TV Show,Get Even,"July 31, 2020",2020,TV-PG,"British TV Shows, Crime TV Shows, International TV Shows",Netflix,1
TV Show,Transformers: War For Cybertron Trilogy,"July 30, 2020",2020,TV-Y7,Anime Series,Netflix,1
TV Show,Unlucky Ploy,"July 30, 2020",2020,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,1
TV Show,Sing On! Spain,"July 24, 2020",2020,TV-G,"International TV Shows, Reality TV, Spanish-Language TV Shows",Netflix,1
TV Show,Sinatra: All or Nothing at All,"July 23, 2020",2015,TV-14,Docuseries,Netflix,1
TV Show,Fear City: New York vs The Mafia,"July 22, 2020",2020,TV-MA,"Crime TV Shows, Docuseries",Netflix,1
TV Show,Street Food: Latin America,"July 21, 2020",2020,TV-PG,"Docuseries, Spanish-Language TV Shows",Netflix,1
TV Show,Killer Women with Piers Morgan,"July 19, 2020",2017,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",Netflix,1
TV Show,Gigantosaurus,"July 18, 2020",2019,TV-Y,Kids' TV,Netflix,1
TV Show,Single Wives,"July 18, 2020",2018,TV-MA,"Reality TV, Romantic TV Shows",Netflix,1
TV Show,Cursed,"July 17, 2020",2020,TV-MA,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",Netflix,1
TV Show,Kissing Game,"July 17, 2020",2020,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",Netflix,1
TV Show,Dark Desire,"July 15, 2020",2020,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Netflix,1
TV Show,Skin Decision: Before and After,"July 15, 2020",2020,TV-MA,"Reality TV, Science & Nature TV",Netflix,1
TV Show,The Business of Drugs,"July 14, 2020",2020,TV-MA,Docuseries,Netflix,1
TV Show,Dating Around: Brazil,"July 10, 2020",2020,TV-14,"International TV Shows, Reality TV, Romantic TV Shows",Netflix,1
TV Show,Down to Earth with Zac Efron,"July 10, 2020",2020,TV-PG,"Docuseries, Reality TV, Science & Nature TV",Netflix,1
TV Show,The Epic Tales of Captain Underpants in Space,"July 10, 2020",2020,TV-Y7,"Kids' TV, TV Action & Adventure, TV Comedies",Netflix,1
TV Show,The Twelve,"July 10, 2020",2019,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,1
TV Show,Japan Sinks: 2020,"July 9, 2020",2020,TV-MA,"Anime Series, International TV Shows",Netflix,1
TV Show,Was It Love?,"July 9, 2020",2020,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,1
TV Show,Stateless,"July 8, 2020",2020,TV-MA,"International TV Shows, TV Dramas",Netflix,1
